,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
25,Wat Da Hook Gon Be,,Murphy Lee Featuring Jermaine Dupri,,,,,,,,,,,,,,,
26,Gigolo,,Nick Cannon Featuring R. Kelly,,,,,,,,,,,,,,,
27,So Far Away,So Far Away,Staind,['Staind'],6FOpPA0a80RuBqqgDozvja,0.407,0.896,6.0,-2.935,1.0,0.063,0.012,0.0,0.196,0.156,138.697,243573.0,3.0
28,Perfect,Perfect,Simple Plan,['Simple Plan'],4j3X4KX8rURekAVIFUhI23,0.494,0.672,3.0,-4.877,1.0,0.0405,0.0273,0.0,0.105,0.557,156.208,277027.0,4.0
29,The First Cut Is The Deepest,The First Cut Is The Deepest,Sheryl Crow,['Sheryl Crow'],7gN24J8E0pR3G2nsbhkcjw,0.509,0.7,2.0,-5.372,1.0,0.033,0.0374,0.0,0.106,0.671,160.003,227400.0,4.0
30,There Goes My Life,There Goes My Life,Kenny Chesney,['Kenny Chesney'],1CjQCQsl9FDb3WhjGcFOzG,0.577,0.483,4.0,-8.141,1.0,0.0324,0.0337,6.22e-06,0.3,0.218,135.77,302667.0,4.0
31,Salt Shaker,,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,,,,,,,,,,,,,,,
32,Through The Wire,Through The Wire,Kanye West,['Kanye West'],4mmkhcEm1Ljy1U9nwtsxUo,0.571,0.739,7.0,-6.11,1.0,0.247,0.00865,5.21e-06,0.158,0.66,83.089,221227.0,4.0
33,Remember When,Remember When,Alan Jackson,['Alan Jackson'],1nCSr7oGeUv7sUEoYuAJFF,0.558,0.314,2.0,-10.623,1.0,0.0295,0.709,0.000319,0.193,0.267,125.59,271280.0,4.0
34,Bright Lights,Bright Lights,matchbox twenty,['Matchbox Twenty'],4dZhQj20JbKlD9oR0X8kjZ,0.319,0.732,4.0,-4.475,1.0,0.0436,0.0134,0.0,0.658,0.2,80.195,234427.0,4.0
35,The Voice Within,The Voice Within,Christina Aguilera,['Christina Aguilera'],42JgHvkBiAc5ivo0gvVRvQ,0.484,0.439,2.0,-5.995,1.0,0.0336,0.556,0.0,0.251,0.157,69.945,304013.0,4.0
36,Why Can't I?,Why Can't I?,Liz Phair,['Liz Phair'],4z4PB23xYTg1oANmyZovsw,0.487,0.759,11.0,-4.849,1.0,0.0405,0.0273,0.0,0.165,0.227,80.958,208360.0,4.0
37,Gangsta Nation,,Westside Connection Featuring Nate Dogg,,,,,,,,,,,,,,,
38,You Can't Take The Honky Tonk Out Of The Girl,You Can't Take the Honky Tonk out of the Girl,Brooks & Dunn,['Brooks & Dunn'],56LfnhlS3xvjtCpXWOxleW,0.573,0.949,5.0,-2.799,1.0,0.0382,0.00881,3.84e-05,0.277,0.756,114.273,208933.0,4.0
39,F**k It (I Don't Want You Back),F**k It (I Don't Want You Back),Eamon,['Eamon'],6XQcahXnhO40QdF24k8WBp,0.814,0.611,0.0,-6.154,0.0,0.0491,0.0781,0.000134,0.0406,0.533,68.493,225667.0,4.0
40,Shake Ya Tailfeather,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,"Nelly, P. Diddy & Murphy Lee","['Nelly', 'Murphy Lee', 'Diddy']",1lKS7SZQ7r5vOChLwJurmm,0.662,0.808,1.0,-4.749,1.0,0.271,0.176,0.0,0.169,0.909,87.644,293667.0,4.0
41,I Love This Bar,I Love This Bar,Toby Keith,['Toby Keith'],32jHB7W9b08OTorAqR0cJo,0.608,0.825,2.0,-6.303,1.0,0.0419,0.024,0.00656,0.346,0.454,115.049,335333.0,4.0
42,Invisible,Invisible,Clay Aiken,['Clay Aiken'],0O0ieeprNUzIbiOSnDg5Z0,0.565,0.777,2.0,-5.516,0.0,0.037,0.152,0.0,0.35,0.593,110.092,243867.0,4.0
43,(There's Gotta Be) More To Life,(There's Gotta Be) More To Life,Stacie Orrico,['Stacie Orrico'],2x5qF66rFO6DERBMNkQAqn,0.58,0.922,1.0,-3.785,1.0,0.0957,0.0917,0.0,0.189,0.649,89.841,200387.0,4.0
44,With You,With You,Jessica Simpson,['Jessica Simpson'],7pNJ1T9TGbVbNHKaLhhPri,0.553,0.756,0.0,-4.583,1.0,0.108,0.0923,0.0,0.215,0.605,94.487,191827.0,4.0
45,My Baby,,Bow Wow Featuring Jagged Edge,,,,,,,,,,,,,,,
46,Not Today,,Mary J. Blige Featuring Eve,,,,,,,,,,,,,,,
47,Harder To Breathe,Harder To Breathe,Maroon 5,['Maroon 5'],4V9JDRqKjN8F2HWdlEDxvI,0.662,0.908,1.0,-4.764,0.0,0.0449,0.0506,0.0,0.0508,0.967,149.941,173693.0,4.0
