Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
48,1.0,Jungle Love,Jungle Love,The Time,['The Time'],0QUpBXTOdB4JJyTGFN6dH1,0.761,0.641,8.0,-13.466,0.0,0.0445,0.0713,0.0269,0.483,0.822,119.61,333360.0,4.0,9.0
60,1.0,Love Will Show Us How,Love Will Show Us How,Christine McVie,['Christine McVie'],3u7ffLulYoencaivAqimKE,0.577,0.867,2.0,-4.717,1.0,0.0405,0.0951,0.00237,0.272,0.931,162.092,254267.0,4.0,9.0
99,1.0,"The More You Live, The More You Love","The More You Live, The More You Love",A Flock Of Seagulls,['A Flock Of Seagulls'],1lNn0udm3EHKFRCGpNKZxn,0.612,0.845,11.0,-5.565,0.0,0.0352,0.00224,0.00168,0.582,0.769,139.514,249107.0,4.0,9.0
16,1.0,Do What You Do,Do What You Do,Jermaine Jackson,['Jermaine Jackson'],6gmLSRnCGWaPeO64miR2Rr,0.573,0.462,1.0,-9.634,0.0,0.0256,0.448,0.0,0.232,0.399,112.682,252547.0,4.0,9.0
19,1.0,Hello Again,Hello Again,The Cars,['The Cars'],6HFpfx0Efw1ckqKTLVrMQy,0.861,0.834,11.0,-7.626,0.0,0.0464,0.218,0.0264,0.23,0.914,129.109,228867.0,4.0,9.0
92,1.0,Sweetheart Like You,Sweetheart Like You,Bob Dylan,['Bob Dylan'],2KVrZKnaDbu9Ik9aMHe8J3,0.555,0.375,1.0,-11.308,0.0,0.0418,0.627,1.96e-05,0.0751,0.487,138.992,273667.0,4.0,9.0
97,0.7333333333333334,Just One More Time,When I Left Your Place - LSD Version,The Headpins,['The Bottom Dollars'],6hN97WJIjAzgvRXoAUiF1I,0.54,0.535,2.0,-8.433,1.0,0.0257,0.0664,0.0,0.104,0.742,112.286,238400.0,4.0,9.0
94,1.0,99 1/2,99 1/2,Carol Lynn Townes,['Carol Lynn Townes'],6evtCeDaCwOFSXNiCdm0R1,0.762,0.845,10.0,-9.762,0.0,0.0859,0.264,0.319,0.219,0.648,119.203,242000.0,4.0,9.0
98,0.9705882352941176,I Didn't Mean To Turn You On,I Didn't Mean To Turn You On,Cherelle,['Cherrelle'],7EejjSh1WDrm81z0u3Fhmk,0.771,0.824,9.0,-10.088,1.0,0.057,0.0629,0.0318,0.787,0.746,120.247,423000.0,4.0,9.0
98,1.0,The Only Flame In Town,The Only Flame In Town,Elvis Costello & The Atrractions,['Elvis Costello & The Attractions'],3zY0g3bPtYJmIoO9shlTiU,0.672,0.705,6.0,-9.245,0.0,0.0315,0.0996,9.27e-06,0.116,0.914,123.104,241560.0,4.0,9.0
98,0.8333333333333333,Perfect Combination,Perfect Combination,Stacy Lattisaw & Johnny Gill,"['Stacy Lattisaw', 'Johnny Gill']",0Ro6ef31feiNEnrTZCBSeA,0.607,0.526,9.0,-10.324,0.0,0.037,0.376,0.0,0.14,0.603,133.62,249933.0,4.0,9.0
97,1.0,Magnetic,Magnetic,"Earth, Wind & Fire","['Earth, Wind & Fire']",7qcQracry44XombvUkiRvd,0.706,0.825,1.0,-9.121,1.0,0.038,0.0253,6.15e-05,0.363,0.854,140.45,261773.0,4.0,9.0
95,1.0,After All,After All,Al Jarreau,['Al Jarreau'],5g5EdgkfKVUceOTJtm0Kel,0.487,0.192,1.0,-17.308,1.0,0.0291,0.573,2.54e-06,0.0759,0.26,62.086,259533.0,4.0,9.0
95,0.9444444444444444,The Ghost In You,The Ghost In You,Psychedelic Furs,['The Psychedelic Furs'],04BQXS1HwzNpfZ2Wvw2RIy,0.589,0.529,10.0,-13.548,1.0,0.0287,0.0855,1.29e-06,0.104,0.641,123.487,257760.0,4.0,9.0
99,1.0,Happy Ending,Happy Ending,Joe Jackson,"['Joe Jackson', 'Elaine Caswell']",1qv9TWDpXh50DPLgWD4bnH,0.635,0.808,9.0,-5.026,1.0,0.0262,0.0973,0.0,0.141,0.726,131.377,218467.0,4.0,8.0
96,0.9111111111111112,This Must Be The Place (Naive Melody),This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,['Talking Heads'],6aBUnkXuCEQQHAlTokv9or,0.942,0.641,7.0,-10.15,1.0,0.0333,0.331,0.179,0.028,0.966,114.443,296147.0,4.0,8.0
93,1.0,Body Talk,Body Talk,The Deele,['The Deele'],61U6aXX0GsRcf6h6JXnj7u,0.908,0.448,9.0,-9.968,0.0,0.0847,0.0681,0.000138,0.0616,0.847,124.174,336627.0,4.0,8.0
99,0.9,Freakshow On The Dance Floor,Freakshow on the Dance Floor,Bar-Kays,['The Bar-Kays'],7jQXYaNA782iophb5GzFuP,0.868,0.83,10.0,-8.101,0.0,0.0573,0.102,0.0509,0.0432,0.966,130.558,288960.0,4.0,8.0
94,0.8448275862068966,I Want To Break Free,I Want To Break Free - Remastered 2011,Queen,['Queen'],7h2yhVxcZOGyQdOwD4Hu8J,0.795,0.433,4.0,-8.927,1.0,0.0324,0.0853,0.000284,0.0762,0.6,108.947,258013.0,4.0,8.0
98,0.9864864864864864,State Of The Union,State Of The Nation,Industry,['Industry'],4qngSTqniuB6PYTE1JdbPG,0.842,0.682,6.0,-11.222,1.0,0.036,0.0768,0.00367,0.0629,0.965,128.38,274507.0,4.0,8.0
94,0.8611111111111112,So You Ran,You're So Cool,Orion The Hunter,['The Orion Experience'],21fMkU3plJ5bCpI0UhOv8l,0.637,0.76,0.0,-6.704,1.0,0.0354,0.0271,0.0,0.0937,0.835,120.954,201744.0,4.0,8.0
99,0.962962962962963,You Make My Heart Beat Faster,Does It Make You Remember,Kim Carnes,['Kim Carnes'],6qA9kMQq2jnNOiMonN8Lax,0.454,0.667,5.0,-5.53,1.0,0.0252,0.302,0.0,0.151,0.176,78.523,309520.0,4.0,8.0
74,1.0,Music Time,Music Time,Styx,['Styx'],4tj1w7zjl2meQFYud0JdZA,0.526,0.72,2.0,-11.795,1.0,0.0519,0.0567,1.2e-06,0.0685,0.779,186.008,284933.0,4.0,8.0
86,1.0,Heart Don't Lie,Heart Don't Lie,LaToya Jackson,['Latoya Jackson'],6HnqIYsGMS4ijZl8277Gqo,0.74,0.769,0.0,-10.636,1.0,0.0418,0.277,0.000691,0.322,0.97,135.819,277467.0,4.0,8.0
54,1.0,Ti Amo,Ti Amo,Laura Branigan,['Laura Branigan'],6B4bbxgcToDVMkw92Oj356,0.578,0.519,5.0,-11.897,1.0,0.0297,0.425,0.0,0.141,0.638,184.358,254333.0,3.0,8.0
68,0.8939393939393939,Catch My Fall,Catch My Fall - Edit,Billy Idol,['Billy Idol'],6vrQiNJDkGyKzxlNCQGwNo,0.669,0.783,7.0,-5.943,1.0,0.0288,0.0102,0.0375,0.223,0.676,131.473,224333.0,4.0,8.0
94,0.9078947368421052,No Parking (On The Dance Floor),No Parking (On the Dance Floor) - 12 Inch Mix,Midnight Star,['Midnight Star'],68ffXcOFU1Qxjo3Wbg5hMB,0.895,0.749,7.0,-8.696,1.0,0.0468,0.00553,0.0254,0.0533,0.967,125.359,479055.0,4.0,8.0
11,1.0,Run To You,Run To You,Bryan Adams,['Bryan Adams'],2RWFncSWZEhSRRifqiDNVV,0.561,0.811,4.0,-6.157,1.0,0.0265,0.00515,3.6e-05,0.287,0.635,126.593,233270.0,4.0,8.0
65,1.0,Take Me Back,Take Me Back,Bonnie Tyler,['Bonnie Tyler'],3jmdzHB5KlQHwvqK65XzIS,0.457,0.733,10.0,-10.773,1.0,0.0341,0.00813,1.64e-06,0.279,0.536,118.212,322240.0,4.0,8.0
96,0.8142857142857143,She Was Hot,She Was Hot - Remastered,The Rolling Stones,['The Rolling Stones'],7hUlZfirjFpQwzoE5GFwyL,0.487,0.966,7.0,-4.29,1.0,0.0577,0.0314,0.0949,0.0914,0.721,151.781,281173.0,4.0,8.0
97,1.0,Simple,Simple,Johnny Mathis,['Johnny Mathis'],5yqIBcH5TWKZ6pgPlHXnpW,0.73,0.91,5.0,-7.171,0.0,0.0473,0.259,0.0109,0.157,0.919,148.679,224413.0,3.0,8.0
1,1.0,The Wild Boys,The Wild Boys,Duran Duran,['Duran Duran'],4qwJm5gtKeGgHIF5K9IZTh,0.754,0.827,11.0,-7.128,0.0,0.0612,0.372,0.0,0.113,0.649,115.798,258973.0,4.0,8.0
96,0.8928571428571428,Vitamin L,Vitamin L,B.E. Taylor Group,['B.E. Taylor'],7apCX6ppAodHPbpegwLlpB,0.767,0.679,11.0,-4.054,0.0,0.0519,0.092,5.86e-06,0.047,0.702,102.627,283600.0,4.0,8.0
97,1.0,Electric Kingdom,Electric Kingdom,Twilight 22,['Twilight 22'],1XCKE65GRGauDKnyFAKDN5,0.819,0.624,6.0,-11.727,1.0,0.0599,0.00816,0.21,0.0523,0.706,127.179,286040.0,4.0,8.0
92,1.0,Hunters Of The Night,Hunters of the Night,Mr. Mister,['Mr. Mister'],04ePIeMAhtRjpeq3CCwyh5,0.526,0.524,2.0,-12.129,1.0,0.0306,0.0272,0.000201,0.345,0.886,163.615,310093.0,4.0,8.0
